X,Y,OBJECTID,FACILITYID,NAME,OWNER,OWNTYPE,SUBTYPEFIELD,FEATURECODE,FULLADDR,CITY,STATE,ZIPCODE,PHONE,LOCATIONTYPE,CAPTUREMETH,DESCRIPT,OPERDAYS,OPERHOURS,PARKURL,DESCRIPT2,PARKAREA,SHELTERURL,NUMPARKING,ARTSTUDIO,BALLFIELDS,BEACH,BOATRAMP,CANOELAUNCH,COMMUNITYCENTER,COMPUTERLAB,CONCESSION,DOGPARK,FITNESSFACILITY,GOLF,GRILLS,GYM,OUTDOORFITNESS,PIER,SHUFFLECOURTS,PLAYGROUND,POOL,RESTROOMS,SHELTERS,TENNIS,IMPROVEDTRAILS,DOGBEACH,BASKETCOURTS,RACQUETCOURTS,NATURALTRAILS,DISCGOLF,SKATEPARK,SPLASHPAD,ATHLETICFIELD,SANDCOURTS,BANDSHELL,CEMETERY,MARINA,PARKALIAS,SHELTERMAP,GlobalID,created_user,created_date,last_edited_user,last_edited_date,USNG
-82.456200977219581,27.954345832463417,39335,73,Kid Mason Community Center,Tampa,Municipal,820,Community / Recreation Center,1101 N Jefferson Street,Tampa,FL,33602,813-274-8366,Building,Placed on Map,,Everyday,N/A,http://www.tampagov.net/parks-and-recreation,,,,,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,N/A,{D542A87B-0B42-4EB7-A8BB-019B627174D0},,,DPD3,2015-01-12T16:33:44.000Z,17R LL 567 929
-82.469223791393091,27.967259862039608,39379,104,Phillips Park,Tampa,Municipal,820,Park,751 W Columbus Dr,Tampa,FL,33602,,Parcel,Placed on Map,,Everyday,N/A,http://www.tampagov.net/parks-and-recreation,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,N/A,{B5A590FE-555F-43A4-BEC0-0281569D71ED},,,DPD3,2015-01-12T16:33:44.000Z,17R LL 554 944
-82.368180263345195,28.111569420700985,39362,92,New Tampa Nature Park,Tampa,Municipal,820,Park,17001 Dona Michelle Drive,Tampa,FL,33647,,Parcel,Placed on Map,,Everyday,N/A,http://www.tampagov.net/parks-and-recreation,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,,N/A,{62EE7313-4637-497D-BECF-031497FE6BFC},,,dp43,2015-10-16T13:50:11.000Z,17R LM 656 103
-82.514050587752166,27.91942129632714,39478,207,Friendship Center,Tampa,Municipal,820,Community / Recreation Center,4124 W Bay to Bay Blvd,Tampa,FL,33629,813-832-1200,,,,,,http://www.tampagov.net/parks-and-recreation,,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,{C31F2D1A-BA99-4AFD-8611-03D8A53A9200},rck8,2014-08-19T15:34:42.000Z,DPD3,2015-01-12T16:33:44.000Z,17R LL 510 891
-82.465069940846291,27.97838666858733,39364,16,Calvin Taylor Park,Tampa,Municipal,820,Park,611 W  Indiana Ave,Tampa,FL,33603,813-274-7433,Parcel,Placed on Map,"The Calvin Taylor Park is home to the Taylor Art Studio, which offers many art and craft classes for children and adults. Classes include glass fusion, jewelry making, pottery, and much more.",Everyday,Sunrise to Sunset,http://www.tampagov.net/parks-and-recreation,,,,,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,,N/A,{4D1CEFF0-F5DA-497B-96C0-0637065527B2},,,DPD3,2015-01-12T16:33:44.000Z,17R LL 559 956
-82.425517879915333,28.006003357001358,39348,153,Woodland Terrace Park,Tampa,Municipal,820,Park,6410 N 32nd St,Tampa,FL,33610,813-231-5211,Parcel,Placed on Map,,Everyday,N/A,http://www.tampagov.net/parks-and-recreation,,,,,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Gwen Miller Center,N/A,{F7263D32-42E0-4F24-AA9D-06F11F65D879},,,DPD3,2015-01-12T16:33:44.000Z,17R LL 598 986
-82.451934612119302,27.97508883753413,39363,14,Borrell Park,Tampa,Municipal,820,Park,808 E 26th Ave,Tampa,FL,33603,,Parcel,Placed on Map,,Everyday,N/A,http://www.tampagov.net/parks-and-recreation,N/A,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,N/A,{14670DC9-4CEA-4FF6-8E9E-0712700C29BC},,,DPD3,2015-01-12T16:33:44.000Z,17R LL 572 952
-82.422137639273942,27.991834175570862,39492,221,Fair Oaks Center,Tampa,Municipal,820,Community / Recreation Center,5019 N 34th St,Tampa,FL,33610,813-231-5277,Parcel,Placed on Map,,,,http://www.tampagov.net/parks-and-recreation,,,,,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,{A0A0B664-9701-4428-8B1F-0C17B2A413D7},rck8,2014-08-21T14:10:21.000Z,DPD3,2015-01-12T16:33:44.000Z,17R LL 601 971
-82.51649338693349,27.877439430871377,39360,13,Bobby Hicks Park,Tampa,Municipal,820,Park,4201 W Mango Ave,Tampa,FL,33616,813-832-1217,Parcel,Placed on Map,,Everyday,N/A,http://www.tampagov.net/parks-and-recreation,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,N/A,{6F262F7A-93E5-4C13-8DBF-106841E76793},,,DPD3,2015-01-12T16:33:44.000Z,17R LL 507 845
-82.470055253565789,28.014185396831824,39461,77,Lowry Park Zoo (Non-City Establishment),Tampa,Municipal,820,Zoo,7530 N Boulevard,Tampa,FL,33604,813-935-8552,Parcel,Placed on Map,"Recognized as the #1 family-friendly Zoo in the United States by Child magazine, Tampa’s Lowry Park Zoo features more than 1,700 animals on 56 acres of lush, natural habitats in seven main exhibit areas: Asian Domain, Primate World, Manatee and Aquatic C",,,http://www.tampagov.net/parks-and-recreation,"Achievement, future, community, conservation, development, good health, heritage, nature…It Starts in Parks!",,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,{48B93B91-CDED-4C98-9FCD-139EF2BFABC2},,,rck8,2015-05-01T15:01:35.000Z,17R LL 554 996
